step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,0.0,11.558328200982354,0.0,20.0285,0.055347,0.0
10,0.0,15.62481699064074,0.0,20.0689,0.048159,0.0
15,0.0,17.801684456189893,0.0,20.1124,0.043894,0.0
20,0.0,21.541438261582663,0.0,20.1549,0.054622,0.0
25,0.0,25.5442932544259,0.0,20.1957,0.054658,0.0
30,0.0,28.954427947016082,0.0,20.2377,0.047928,0.0
35,0.0,32.691690864723995,0.0,20.2795,0.047422,0.0
40,0.0,36.7043399199764,0.0,20.3223,0.051895,0.0
45,0.0,40.03925345806745,0.0,20.3689,0.049351,0.0
50,0.0,43.48200637993117,0.0,20.4156,0.04406,0.0
55,0.0,47.65489928788526,0.0,20.4609,0.040668,0.0
60,0.0,52.33732112892648,0.0,20.5282,0.053778,0.0
65,0.0,57.25029808233162,0.0,20.6092,0.040997,0.0
70,0.0,62.19126422415272,0.0,20.6907,0.048153,0.0
75,0.0,68.15488723946547,0.0,20.7704,0.047721,0.0
80,0.0,73.41215667297867,0.0,20.8461,0.043905,0.0
85,0.0,96.79278282933421,0.0,20.8996,0.049099,0.0
90,0.0,126.70203434389242,0.0,20.9341,0.050949,0.0
95,0.0,156.65280919946196,0.0,20.968,0.046229,0.0
100,0.28003649476452586,180.84761069523728,0.0276,21.011,0.054252,0.0276
105,0.6923428951790336,211.09303969384106,0.0333,21.0444,0.054128,0.0333
110,1.189794980000395,235.6594970462737,0.0401,21.0778,0.055813,0.0401
115,2.506598866056047,265.6830312978069,0.1006,21.1286,0.049436,0.1006
120,3.8902313424022354,297.3713344421266,0.106,21.1796,0.046895,0.106
125,5.352740812582131,329.4024459444915,0.1122,21.2297,0.049384,0.1122
130,6.9018584067019795,361.63935007863773,0.1189,21.2793,0.058725,0.1189
135,8.692256966002445,388.83614034869083,0.1819,21.338,0.049121,0.1819
140,11.150719113551046,421.25582870589795,0.1862,21.3865,0.045247,0.1862
145,13.674428477182175,459.23032212822244,0.1914,21.4256,0.048817,0.1914
150,16.272348643121017,500.605320233381,0.1972,21.4598,0.045988,0.1972
155,18.94936659602708,548.3012886957295,0.2032,21.4918,0.050795,0.2032
160,21.66908559091118,580.3213400449526,0.1807,21.5286,0.049732,0.1807
165,24.09424477930865,614.7575791744679,0.2014,21.558,0.047972,0.2014
170,26.053583662715628,643.1067314934639,0.167,21.5883,0.047378,0.167
175,27.71018514690491,683.5828701175236,0.0774,21.5909,0.043039,0.0774
180,29.377421611290725,702.6514032457492,0.1564,21.6446,0.053549,0.1564
185,30.59886973817791,765.9908282082524,0.0124,21.6261,0.050423,0.0124
190,30.783943282967716,782.7038892475659,0.0394,21.6651,0.043424,0.0394
195,31.510533979883686,825.7948903028191,0.0093,21.7113,0.044857,0.0093
200,31.510533979883686,864.2775749504173,0.0,21.7357,0.049899,0.0
205,31.541972209796718,912.1807202870865,0.0,21.7599,0.051982,0.0
210,31.541972209796718,950.9043249186831,0.0,21.7786,0.053643,0.0
215,31.553696135395985,1000.3421911549208,0.0044,21.8101,0.053821,0.0044
220,31.600652880460444,1046.7286673847086,0.0,21.8252,0.0479,0.0
225,31.670889729739258,1089.7183483359504,0.011,21.8559,0.04998,0.011
230,31.928649631518915,1148.4127502809627,0.0308,21.8896,0.045789,0.0308
235,32.865528465731764,1208.849240243149,0.0732,21.9319,0.050775,0.0732
240,34.21493482557132,1281.0276498845324,0.1147,21.9481,0.04152,0.1147
245,36.09422360692271,1349.1973000831158,0.1563,21.9743,0.051752,0.1563
250,38.65532413107511,1409.4907120187888,0.1944,22.0063,0.046108,0.2377
255,42.69578174228418,1489.6007958944522,0.2496,22.018,0.060589,0.3152
260,47.21831155163271,1568.7782633110303,0.283,22.03,0.061444,0.3
265,51.454956552324944,1635.634564094087,0.3141,22.0346,0.053501,0.3471
270,56.86767825061547,1721.1276580772108,0.3454,22.0374,0.046677,0.3899
275,62.538032760828195,1798.4286252642705,0.3849,22.0283,0.049307,0.4392
280,68.52725132057653,1863.4193101373419,0.4117,22.0502,0.04749,0.4191
285,74.66518767808876,1952.9369433125937,0.4383,22.054,0.051132,0.5249
290,81.96776409046183,2042.056206346493,0.4746,22.0672,0.050269,0.559
295,90.914468649879,2132.76434778395,0.5092,22.1046,0.051561,0.7166
300,101.50215548712399,2223.9205382219916,0.5509,22.1228,0.049886,0.8028
305,113.07286226100449,2314.875246156694,0.5737,22.1248,0.050265,0.9101
310,126.0435565908355,2394.9528282016827,0.5951,22.152,0.053846,1.029
315,139.7355127499151,2485.8513546163613,0.6149,22.1559,0.0392,1.0432
320,154.50011500324285,2584.322548951695,0.6452,22.1715,0.043876,1.1425
325,171.58089597689138,2671.9373500768074,0.6776,22.2079,0.052516,1.3482
330,190.77518036987988,2768.56445701301,0.7279,22.2377,0.050576,1.5273
335,212.13741664980483,2870.796717978964,0.7618,22.266,0.051887,1.6588
340,235.28859823380947,2969.2983267153677,0.7722,22.2852,0.054221,1.7396
345,260.04360415269326,3061.848846283978,0.8506,22.3013,0.044914,1.9075
350,286.0780557283533,3163.182179617312,0.8535,22.313,0.051599,1.9851
355,313.05308747441626,3244.212488984516,0.9098,22.346,0.046515,2.1082
360,342.23510233899503,3337.0212445777956,0.9608,22.3729,0.046279,2.2425
365,372.5669682042614,3433.3024336982667,0.9785,22.3863,0.05171,2.3176
370,404.0464712512101,3530.340897821003,1.0232,22.3901,0.052512,2.3743
375,436.6082860924852,3621.511186074158,1.077,22.4097,0.048698,2.4826
380,470.695056730798,3718.6729111696304,1.1203,22.436,0.046581,2.6163
385,506.2490229867783,3813.0649888672724,1.1866,22.4517,0.049133,2.7088
390,543.3401758789128,3915.073439473669,1.2294,22.4701,0.047712,2.7999
395,581.4318800653194,4018.391319815353,1.2658,22.4771,0.049571,2.9102
400,620.6773136032851,4109.067370878716,1.282,22.4948,0.056889,2.9789
405,660.8009928012264,4211.662697254851,1.3082,22.5026,0.049518,3.0006
410,702.183810714416,4302.813736225076,1.3203,22.5359,0.047237,3.1794
415,744.9302663213688,4404.661907674733,1.3446,22.542,0.054212,3.2199
420,788.7334173663629,4495.780173214848,1.3802,22.5577,0.0601,3.3162
425,833.872544487367,4597.11350654818,1.4024,22.5742,0.049132,3.4311
430,879.7959322554661,4691.374598998822,1.4242,22.5846,0.051504,3.4823
435,927.8449386944641,4776.9341306642045,1.4345,22.6273,0.046249,3.7191
440,977.7832897646862,4874.980147917729,1.4589,22.6386,0.046973,3.7847
445,1028.375128955033,4976.313481251061,1.4928,22.6439,0.04904,3.8152
450,1079.6847761301985,5074.65303248071,1.5129,22.6533,0.055423,3.8726
455,1132.2284907536316,5174.183460698153,1.5255,22.675,0.051806,4.0008
460,1186.8920751393246,5270.447274736827,1.5579,22.7058,0.04882,4.1818
465,1243.543194747867,5374.468917718711,1.5848,22.7236,0.047915,4.2867
470,1301.388935139414,5475.802251052043,1.6184,22.7449,0.052799,4.4109
475,1360.7669001718882,5582.468917718708,1.6749,22.7566,0.046006,4.4789
480,1421.5745002590288,5679.010362979419,1.7226,22.7849,0.051918,4.6479
485,1484.2654746799062,5782.135674990429,1.7925,22.8029,0.052717,4.7525
490,1548.334080131398,5878.135674990428,1.8356,22.8246,0.049228,4.8815
495,1614.9359475837725,5984.802341657093,1.9002,22.8511,0.054851,5.038
500,1682.861522311725,6091.469008323758,1.9553,22.8675,0.052033,5.1343
505,1753.09897887672,6187.469008323757,2.0153,22.9022,0.043076,5.3408
510,1824.9936586028941,6294.135674990423,2.0558,22.9167,0.04175,5.4267
515,1897.9614644982537,6400.802341657088,2.08,22.9299,0.046052,5.5058
520,1972.3492612470643,6500.853697704228,2.1234,22.9555,0.049757,5.6587
525,2048.9493999056563,6602.18703103756,2.192,22.9803,0.044954,5.8041
530,2127.467963723038,6708.853697704225,2.2483,23.0033,0.044028,5.9398
535,2207.726365373126,6815.52036437089,2.3001,23.0257,0.04541,6.0722
540,2289.778809696533,6922.187031037555,2.3616,23.0483,0.04914,6.2048
545,2373.4376600582177,7028.709652651121,2.389,23.0681,0.040783,6.3239
550,2458.940496885907,7135.3763193177865,2.4534,23.0923,0.051374,6.4663
555,2546.0800352677775,7242.042985984452,2.4988,23.1126,0.060117,6.5864
560,2634.844227005599,7348.709652651117,2.5291,23.1316,0.044983,6.7
565,2724.7440065112955,7455.376319317782,2.5134,23.1378,0.046632,6.7368
570,2814.0333103905814,7562.042985984447,2.4815,23.1251,0.046523,6.661
575,2904.424205708734,7647.376319317779,2.4425,23.15,0.052612,6.8089
580,2995.7932223504663,7743.376319317778,2.3213,23.1537,0.052606,6.8367
585,3087.0011455192575,7839.376319317777,2.351,23.1581,0.047061,6.8632
590,3178.843044658866,7935.3763193177765,2.3185,23.1633,0.04783,6.8973
595,3270.4878940316885,8036.709652651109,2.3027,23.1573,0.043427,6.8619
600,3361.4374558350946,8138.042985984441,2.2861,23.1498,0.042578,6.8213
605,3452.0529150107395,8234.04298598444,2.2448,23.1472,0.050067,6.8003
