step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,0.0,16.0,0.0,20.0251,0.048251,0.0
10,0.0,26.29352313970693,0.0,20.0559,0.047514,0.0
15,0.0,33.9160886040114,0.0,20.0914,0.0541,0.0
20,0.0,40.18348659428355,0.0,20.1303,0.04843,0.0
25,0.0,48.49624545040161,0.0,20.1656,0.046629,0.0
30,0.0,56.23667797275061,0.0,20.2015,0.044897,0.0
35,0.0,63.451246920565865,0.0,20.238,0.045785,0.0
40,0.0,70.3290033669703,0.0,20.277,0.055707,0.0
45,0.0,77.2618126731548,0.0,20.3186,0.046369,0.0
50,0.0,85.16749467426992,0.0,20.3591,0.052505,0.0
55,0.0,94.4963464022091,0.0,20.3978,0.051781,0.0
60,0.0,104.351658150036,0.0,20.4571,0.045602,0.0
65,0.0,116.0150132958551,0.0,20.5318,0.051344,0.0
70,0.0,136.47158812668206,0.0,20.5897,0.048734,0.0
75,0.0,154.5664354669088,0.0,20.6495,0.055133,0.0
80,0.0,175.00148280670803,0.0,20.7057,0.046935,0.0
85,0.0,201.04575970160076,0.0,20.7485,0.051001,0.0
90,0.0,226.0388448570321,0.0,20.7926,0.044157,0.0
95,0.0,252.70551152369882,0.0,20.834,0.053656,0.0
100,0.0,279.3721781903654,0.0,20.8751,0.049851,0.0
105,0.0,306.03884485703196,0.0,20.9152,0.04381,0.0
110,0.0,332.70551152369853,0.0,20.9543,0.04252,0.0
115,0.0,359.3721781903651,0.0,21.0015,0.045418,0.0
120,0.0,386.0388448570317,0.0,21.0608,0.049976,0.0
125,0.0,412.70551152369825,0.0,21.12,0.044192,0.0
130,0.0,439.3721781903648,0.0,21.1793,0.048071,0.0
135,0.0,466.0388448570314,0.0,21.2384,0.052419,0.0
140,0.0,492.70551152369796,0.0,21.2975,0.049734,0.0
145,0.0,546.0388448570312,0.0,21.3214,0.055637,0.0
150,0.0,578.0388448570313,0.0,21.363,0.050149,0.0
155,0.003068052158435345,620.705511523698,0.0012,21.413,0.039677,0.0012
160,0.05063296579089637,658.0388448570313,0.0,21.4404,0.050027,0.0
165,0.05063296579089637,684.7055115236982,0.0,21.4739,0.054554,0.0
170,0.05063296579089637,711.372178190365,0.0,21.5078,0.051562,0.0
175,0.05063296579089637,738.0388448570319,0.0,21.5416,0.045639,0.0
180,0.18269156460935201,786.0388448570318,0.0,21.5483,0.053485,0.0
185,0.18269156460935201,818.0388448570319,0.0,21.5645,0.047629,0.0
190,0.18269156460935201,844.7055115236988,0.0,21.6069,0.048984,0.0
195,0.4956022530868343,871.3721781903656,0.0,21.6608,0.040095,0.0
200,0.5768431080475599,898.0388448570325,0.0031,21.714,0.042257,0.0031
205,0.5768431080475599,924.7055115236993,0.0,21.7672,0.050542,0.0
210,0.9252923063036274,951.3721781903662,0.0468,21.8207,0.050992,0.0844
215,1.5138053144946564,1004.7055115236993,0.0,21.8375,0.056211,0.0
220,1.776172163813726,1058.038844857033,0.0,21.8459,0.052879,0.0
225,2.4033480474843905,1100.7055115236997,0.0623,21.8637,0.048608,0.0623
230,4.021671461544505,1138.038844857033,0.104,21.9478,0.046513,0.1668
235,7.343447293739711,1191.3721781903666,0.1467,21.9956,0.044144,0.3414
240,11.255947096099478,1271.3721781903666,0.1872,22.0067,0.050812,0.2245
245,14.443126848284077,1351.3721781903666,0.2225,22.0092,0.055892,0.2978
250,19.682140397193088,1410.0388448570336,0.2593,22.0387,0.059381,0.4433
255,26.95597027935853,1495.3721781903669,0.2941,22.0493,0.051169,0.4689
260,32.13542825917586,1596.7055115237,0.3241,22.0059,0.051925,0.3503
265,37.77064802056673,1676.7055115237,0.3522,22.0057,0.050538,0.4819
270,44.514040475939076,1778.038844857033,0.38,21.9742,0.041873,0.4608
275,51.084085343342245,1804.7055115236992,0.4062,22.0324,0.05413,0.5514
280,59.346652204099335,1863.3721781903657,0.4354,22.081,0.053275,0.6279
