step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,2.9982898221207566,80.00000000000003,0.1508,20.0253,0.049533,0.3015
10,8.458738844753409,146.66666666666674,0.1726,20.053,0.050955,0.345
15,14.637794807946115,213.33333333333346,0.1942,20.0807,0.050431,0.3878
20,21.524090019935286,280.0000000000001,0.2153,20.1083,0.05013,0.43
25,29.10547201780952,346.6666666666667,0.2361,20.136,0.051398,0.4714
30,37.369668999345535,413.33333333333326,0.2565,20.1636,0.051002,0.5121
35,46.304497406536235,479.99999999999983,0.2766,20.1912,0.050159,0.552
40,55.89793511686763,546.6666666666665,0.2962,20.2187,0.048718,0.5912
45,66.13814981481588,613.3333333333334,0.3156,20.2463,0.049395,0.6298
50,78.3348958792842,680.0000000000002,0.4664,20.2846,0.047545,0.7994
55,93.32578429012482,746.6666666666671,0.6142,20.3227,0.050736,0.9657
60,111.05825122520173,813.3333333333339,0.7593,20.3608,0.049569,1.129
65,131.48159010924746,880.0000000000008,0.9017,20.4528,0.051099,1.2893
70,157.1614962262872,1000.0000000000009,1.0416,20.5448,0.050934,1.7499
75,188.32784762279982,1333.3333333333346,1.1788,20.5883,0.04767,1.9495
80,222.82745586324862,1671.6666666666683,1.3136,20.6377,0.051591,2.1595
85,261.4300188619571,2030.000000000002,1.4459,20.6818,0.04992,2.4199
90,304.3231478408337,2393.333333333335,1.5758,20.7256,0.05197,2.6754
95,353.21018861770614,2800.000000000001,1.7034,20.8094,0.048833,3.1857
100,412.8278834719917,3300.000000000001,1.8684,20.8722,0.049734,3.8364
105,483.17225567663024,3800.000000000001,2.031,20.9341,0.050805,4.4753
110,564.051757577816,4300.000000000001,2.1913,21.0003,0.050849,5.1029
115,656.7699994183924,4800.000000000001,2.3577,21.067,0.049943,5.8836
120,763.0184074823401,5300.000000000001,2.5219,21.1326,0.050068,6.7008
125,883.6443025066923,5800.000000000001,2.6839,21.2064,0.052334,7.6112
130,1019.7429839520826,6300.000000000001,2.8438,21.2815,0.053064,8.5338
135,1171.1627481652904,6800.000000000001,3.0016,21.3556,0.048076,9.4683
140,1339.6351432536003,7300.000000000001,3.1622,21.4287,0.048271,10.533
145,1525.7014954850033,7800.000000000001,3.3208,21.5007,0.051662,11.5826
150,1729.1117017437493,8300.000000000002,3.4773,21.5717,0.048899,12.6173
155,1949.619553925646,8800.000000000002,3.6319,21.6447,0.05189,13.6373
160,2188.348694492924,9300.000000000002,3.7874,21.7176,0.049757,14.7885
165,2446.2919665513086,9800.000000000002,3.943,21.7895,0.049761,15.9333
170,2721.729534019347,10300.000000000002,4.0966,21.8557,0.049355,16.8911
175,3012.2902549781284,10800.000000000002,4.2484,21.9197,0.048556,17.7938
180,3318.688238059819,11300.000000000002,4.3932,21.983,0.049471,18.7755
185,3637.9761127544257,11800.000000000002,4.4354,22.0422,0.051399,19.3621
190,3966.674004121703,12300.000000000002,4.4465,22.1001,0.049822,19.9657
195,4305.820649426977,12800.000000000002,4.4604,22.1577,0.050557,20.6162
200,4656.229967748929,13300.000000000002,4.4742,22.2142,0.049941,21.2957
205,5017.944946160081,13800.000000000002,4.4879,22.2702,0.049038,21.9733
210,5390.859090704832,14300.000000000002,4.5034,22.3254,0.049857,22.653
215,5772.65433223272,14800.000000000002,4.5178,22.3333,0.048809,23.0811
220,6161.5246884240905,15300.000000000002,4.4919,22.3418,0.049832,23.4397
225,6552.606039693443,15800.000000000002,4.4555,22.3506,0.050166,23.5602
230,6948.7670243547755,16300.000000000002,4.4572,22.3521,0.051501,23.83
235,7343.924155591001,16800.000000000004,4.4089,22.3542,0.050379,23.6302
240,7741.712227819248,17273.33333333334,4.4919,22.3589,0.04959,24.0177
245,8140.51640914214,17621.66666666667,4.5654,22.3407,0.049086,23.8392
250,8536.283596413929,18013.333333333332,4.6378,22.3245,0.050355,23.7389
255,8930.659211492894,18463.333333333336,4.7089,22.2931,0.048086,23.5419
260,9321.507163436576,18788.333333333332,4.7788,22.2795,0.050477,23.479
265,9712.425846322169,19079.999999999993,4.8475,22.2795,0.049146,23.3621
270,10100.25507831802,19538.333333333325,4.9552,22.2542,0.04962,23.2652
275,10486.736404532377,19838.333333333325,4.9155,22.2408,0.047237,23.065
280,10869.95867070565,20288.333333333325,4.9869,22.2189,0.051618,23.057
285,11254.488514107905,20574.999999999996,5.011,22.2087,0.049858,22.9854
290,11637.761447870509,21021.666666666664,4.9746,22.1929,0.051357,23.0436
295,12022.960298695645,21294.999999999993,5.066,22.1908,0.049576,23.1446
300,12409.760532712262,21738.333333333325,5.1314,22.1776,0.050857,23.2648
305,12798.323365279872,22091.666666666653,5.0902,22.1992,0.049116,23.2671
310,13185.899194605192,22591.666666666653,5.053,22.2061,0.0501,23.2725
315,13573.34450857826,23071.666666666653,5.0011,22.2076,0.051045,23.1862
320,13959.339277876921,23566.666666666653,4.9695,22.2095,0.050195,23.2045
325,14345.487581943229,24066.666666666653,4.9312,22.2082,0.048646,23.0446
330,14728.978549750775,24566.666666666653,5.0063,22.2088,0.049928,23.1349
335,15116.323309684429,25066.666666666653,5.0309,22.2101,0.049421,23.1648
340,15502.654731007025,25566.666666666653,4.9906,22.2119,0.051464,23.2467
345,15890.947854880267,26066.666666666653,5.1146,22.2142,0.052153,23.3155
350,16280.877125013134,26566.666666666653,5.1161,22.2168,0.050845,23.4671
355,16671.31902635052,27058.333333333314,5.0541,22.2181,0.051091,23.3506
360,17061.48003024282,27558.333333333314,5.0499,22.2219,0.050765,23.5061
365,17456.495593913598,28049.999999999975,4.9988,22.2764,0.050375,23.7736
370,17856.8585831196,28548.333333333307,5.0707,22.3326,0.050286,24.3013
375,18269.073354398937,29048.333333333307,5.1725,22.3888,0.049415,24.9882
380,18691.292418540394,29548.333333333307,5.1841,22.4429,0.051672,25.5512
385,19122.609877351504,30048.333333333307,5.1946,22.4961,0.052519,26.1191
390,19564.205538111004,30548.333333333307,5.2626,22.5489,0.049965,26.7466
395,20016.087334451033,31048.333333333307,5.3633,22.6009,0.049809,27.3426
400,20477.350483548413,31548.333333333307,5.372,22.6514,0.048873,27.9039
405,20948.157439290597,32048.333333333307,5.3826,22.7012,0.050799,28.4763
410,21428.39888289761,32548.333333333307,5.3932,22.7502,0.048698,29.0392
415,21917.7456933572,33048.33333333331,5.4066,22.7983,0.04897,29.5637
420,22415.77817770946,33548.33333333331,5.4178,22.8456,0.048572,30.1262
425,22922.55756435498,34048.33333333331,5.4308,22.8879,0.047437,30.5398
430,23435.293021502763,34548.33333333331,5.4431,22.9286,0.051045,30.9414
435,23954.429778363774,35048.33333333331,5.4501,22.9676,0.051071,31.2637
440,24479.41583714697,35548.33333333331,5.4582,23.0066,0.050741,31.6767
445,25011.13068748737,36048.33333333331,5.4704,23.0449,0.049541,32.0404
450,25548.93488023377,36548.33333333331,5.4767,23.0822,0.049199,32.4273
455,26092.366019805828,37048.33333333331,5.4905,23.1174,0.050089,32.7051
460,26641.164776556798,37548.33333333331,5.4987,23.1518,0.050234,33.101
465,27196.466438211723,38048.33333333331,5.5089,23.1854,0.051149,33.4488
470,27755.184334015707,38548.33333333331,5.5231,23.2179,0.049829,33.5725
475,28319.489326829076,39048.33333333331,5.5237,23.2498,0.047386,34.0478
480,28888.670706587833,39548.33333333331,5.5378,23.2813,0.050809,34.2195
485,29460.778500979868,40048.33333333331,5.541,23.2783,0.049829,34.3992
490,30031.476384048132,40548.33333333331,5.5032,23.267,0.051793,34.0494
495,30597.05082600083,41048.33333333331,5.5828,23.2552,0.047698,33.9997
500,31163.190470799036,41548.33333333331,5.6185,23.2436,0.049801,33.805
505,31723.371971033048,42048.33333333331,5.6547,23.232,0.051981,33.6314
510,32285.13654098995,42548.33333333331,5.7322,23.2203,0.052111,33.6047
515,32841.30388903444,43048.33333333331,5.6997,23.2076,0.049042,33.3314
520,33396.74419443272,43538.3333333333,5.6651,23.1955,0.048573,33.2234
525,33946.50666679669,44021.66666666662,5.588,23.1847,0.048815,32.8306
530,34490.87344552064,44509.999999999956,5.608,23.1766,0.048781,32.649
535,35033.92081592787,45008.33333333329,5.6268,23.1657,0.050692,32.4247
540,35570.86318230499,45508.33333333329,5.5615,23.1509,0.049568,32.1281
545,36102.82961259134,46008.33333333329,5.5124,23.0943,0.050222,31.7479
550,36627.46439957753,46208.33333333329,5.4438,23.0831,0.050545,31.2935
555,37145.15520995433,46708.33333333329,5.5605,23.0289,0.050369,30.9215
560,37656.30055209309,46963.33333333329,5.5324,23.01,0.049385,30.4863
565,38160.08354622695,47238.33333333329,5.4578,22.9964,0.049639,30.057
570,38657.01961716367,47738.33333333329,5.5744,22.9395,0.049802,29.6402
575,39148.54323288889,47963.33333333329,5.546,22.9258,0.048149,29.428
580,39632.815808675274,48463.33333333329,5.4743,22.8743,0.051081,28.717
585,40108.544330522585,48804.99999999997,5.5916,22.8384,0.049951,28.5394
590,40581.11078961576,49266.66666666665,5.6106,22.7921,0.050082,28.0796
595,41045.65179664904,49483.33333333331,5.5346,22.7867,0.049964,27.829
600,41509.10193944019,49863.33333333331,5.4601,22.7525,0.04962,27.7981
605,41965.35531290843,50326.66666666664,5.6242,22.6939,0.049944,27.0896
610,42414.47755019159,50593.33333333332,5.5478,22.6711,0.051322,26.8572
615,42859.84236993824,50969.99999999999,5.5685,22.6492,0.048959,26.6118
620,43299.976279577684,51339.999999999985,5.6358,22.6065,0.051482,26.2312
625,43732.03250766896,51723.333333333314,5.5593,22.5746,0.047846,25.7053
630,44155.10509027022,52149.999999999985,5.5322,22.5282,0.049431,25.2149
635,44572.89001232453,52538.33333333332,5.6478,22.4884,0.048493,24.924
640,44983.41902422062,52781.66666666665,5.5711,22.4717,0.050956,24.5094
645,45389.84748424768,53071.66666666665,5.5097,22.4681,0.049255,24.281
650,45791.035735651814,53406.66666666665,5.4763,22.4308,0.051152,23.9427
655,46187.073118677596,53741.66666666665,5.4506,22.4155,0.048597,23.6433
660,46578.247818632364,54178.333333333314,5.6147,22.3596,0.048268,23.3573
665,46964.62860369201,54424.99999999997,5.5386,22.3593,0.050894,23.0523
670,47341.804892856075,54863.33333333331,5.498,22.2969,0.05111,22.3514
675,47711.420126024546,55141.66666666664,5.4719,22.2867,0.050822,22.0689
680,48076.11845662338,55439.99999999996,5.5879,22.2567,0.051255,21.7861
685,48437.97648416435,55719.999999999956,5.5261,22.2531,0.050267,21.5957
690,48793.50423449636,56089.999999999956,5.506,22.2057,0.050659,21.1982
695,49143.79640427911,56394.999999999956,5.4798,22.1945,0.051436,20.9165
700,49490.50656919188,56704.99999999995,5.548,22.1595,0.050822,20.7013
705,49832.44555608223,57078.33333333328,5.5687,22.1365,0.048852,20.374
710,50168.18569633762,57311.66666666662,5.5882,22.1149,0.051033,19.9909
715,50497.79700348565,57651.66666666661,5.5129,22.093,0.049803,19.6464
720,50824.1032257284,57911.666666666606,5.6294,22.0742,0.049481,19.5482
725,51147.58864509109,58164.99999999994,5.5531,22.0687,0.049834,19.2789
