step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,2.2551973414191555,91.12396634396453,0.102,20.0239,0.049549,0.1757
10,5.645393949158074,167.4510370458284,0.1246,20.0501,0.050294,0.2218
15,9.79484230603736,244.46119769584556,0.1469,20.0763,0.048827,0.267
20,14.690106357944334,322.6395014849193,0.1688,20.1022,0.051252,0.3114
25,20.31771886913684,401.06649248228587,0.1903,20.1281,0.050339,0.355
30,26.664383912605413,480.35722734786765,0.2114,20.1539,0.049301,0.3979
35,33.71703354802714,560.8278484277638,0.2322,20.1793,0.050005,0.4399
40,41.46284254626609,639.3528658248025,0.2525,20.2049,0.048906,0.4812
45,49.88922988644608,720.0729519229758,0.2725,20.2304,0.052277,0.5217
50,60.30524135033092,802.9441754194853,0.4012,20.2662,0.050602,0.6933
55,73.5478109285009,887.1400116323521,0.5503,20.3016,0.05102,0.8616
60,89.56372392954006,971.6542652999146,0.6965,20.337,0.050428,1.0268
65,108.30164526252662,1062.066242058096,0.8401,20.4251,0.048992,1.1889
70,129.7895736399436,1381.8034651625421,0.981,20.482,0.049146,1.3653
75,154.6632908148104,1727.9441395250212,1.1194,20.5249,0.0505,1.5765
80,183.01052339601054,2078.3734854782383,1.2552,20.5737,0.049303,1.7831
85,214.98438716585065,2453.2932451726165,1.3886,20.6167,0.050946,2.022
90,251.35965089923695,2828.2383667396903,1.5195,20.659,0.050794,2.2888
95,292.4478629191657,3302.945587776241,1.6575,20.7329,0.049514,2.6273
100,342.9150833493008,3802.945587776241,1.824,20.7975,0.049427,3.2956
105,404.44788332841284,4302.945587776241,1.9882,20.8611,0.050251,3.9546
110,476.86663553592,4802.945587776241,2.1508,20.929,0.049065,4.607
115,560.7901864304282,5302.945587776241,2.3163,20.9971,0.04825,5.3426
120,657.9113777019654,5802.945587776241,2.4815,21.0642,0.049142,6.157
125,769.6343098544064,6302.945587776241,2.6446,21.1395,0.047523,7.0837
130,897.1011129607293,6802.945587776241,2.8057,21.216,0.049066,8.0223
135,1040.098792569209,7302.945587776241,2.9656,21.2914,0.050616,8.9551
140,1199.7533000607839,7802.945587776241,3.1261,21.3658,0.052211,10.0095
145,1377.235948557628,8302.945587776241,3.2856,21.4391,0.050513,11.0735
150,1572.307031889308,8802.945587776241,3.4431,21.5113,0.049917,12.1228
155,1784.843584194015,9302.945587776241,3.6006,21.5856,0.051512,13.175
160,2015.126748027525,9802.945587776241,3.7591,21.6597,0.048596,14.2504
165,2264.2538494216856,10302.945587776241,3.9155,21.7327,0.050145,15.4102
170,2531.1046149890294,10802.945587776241,4.0698,21.7999,0.049662,16.3811
175,2813.9144821791715,11302.945587776241,4.2183,21.8652,0.050469,17.3708
180,3112.530182720162,11802.945587776241,4.368,21.9293,0.049743,18.2917
185,3424.735155476135,12302.945587776241,4.407,21.9897,0.049293,18.9644
190,3747.1838314562992,12802.945587776241,4.4162,22.0488,0.049823,19.6202
195,4080.288764357427,13302.945587776241,4.4311,22.1071,0.048939,20.2263
200,4424.208757510752,13802.945587776241,4.4436,22.1648,0.048289,20.9111
205,4779.049647575296,14302.945587776241,4.461,22.2216,0.050071,21.5431
210,5145.896911381084,14802.945587776241,4.475,22.278,0.048981,22.3031
215,5520.678590922336,15296.473891634963,4.4796,22.2869,0.050616,22.6117
220,5900.551880792365,15787.004890369355,4.4677,22.3005,0.049176,22.924
225,6286.50950765499,16284.052015857258,4.4808,22.3099,0.050435,23.2292
230,6674.691921462722,16776.043427900942,4.483,22.3148,0.047937,23.432
235,7066.871116413473,17261.933660902916,4.4457,22.3207,0.050091,23.5423
240,7461.454512187191,17748.870447763187,4.461,22.3249,0.049319,23.7671
245,7854.637781563566,18123.34162133403,4.5237,22.3072,0.049521,23.5362
250,8245.709209468043,18465.971495185313,4.5968,22.2912,0.050801,23.4315
255,8634.83215552803,18825.404437691006,4.6687,22.2759,0.049576,23.2801
260,9022.507822374668,19173.323139400432,4.7393,22.266,0.050652,23.2128
265,9407.532873826785,19564.52133334048,4.8088,22.2484,0.05059,23.051
270,9789.534268848685,19918.870221798617,4.8769,22.2303,0.049878,22.7938
275,10170.199234599357,20263.38808077925,4.8123,22.2172,0.049012,22.8037
280,10547.993677557459,20646.183984831507,4.8391,22.2032,0.047648,22.6273
285,10923.935932827018,21037.452509793235,4.7755,22.1867,0.0526,22.4823
290,11297.485918216968,21445.22400564977,4.7579,22.167,0.049261,22.3453
295,11670.32785535502,21822.083465699427,4.7857,22.1507,0.052287,22.3465
300,12041.84963227197,22163.344520327733,4.7234,22.1478,0.050958,22.256
305,12413.436398981594,22656.93942453724,4.7673,22.1542,0.051661,22.3573
310,12785.558414036876,23149.321998761436,4.7248,22.1554,0.04947,22.2931
315,13157.531066220778,23649.321998761436,4.6927,22.1555,0.049156,22.2941
320,13528.721033966354,24139.644140148353,4.6996,22.1576,0.049817,22.3367
325,13900.932528676622,24622.20788046605,4.7081,22.161,0.04986,22.3068
330,14273.274727072336,25122.20788046605,4.6889,22.1615,0.05018,22.3758
335,14646.480606883015,25608.443743144966,4.6428,22.1657,0.051912,22.349
340,15020.422071722025,26106.284974684153,4.6473,22.1685,0.050077,22.4348
345,15394.01964016955,26585.721045429596,4.6397,22.1752,0.050825,22.5056
350,15769.064587747635,27083.175845213453,4.6314,22.1768,0.051161,22.4266
355,16144.639105433322,27583.175845213453,4.6469,22.1805,0.049754,22.6309
360,16520.821585235386,28079.532914133375,4.6061,22.1822,0.050428,22.5657
365,16903.22020760023,28579.532914133375,4.6786,22.2397,0.049903,23.1969
370,17295.922070677065,29079.532914133375,4.695,22.296,0.049922,23.8117
375,17698.706810416683,29579.532914133375,4.7123,22.3514,0.047732,24.4076
380,18111.424702119853,30079.532914133375,4.7296,22.4056,0.049261,24.9928
385,18533.77131376371,30579.532914133375,4.7476,22.459,0.049696,25.5605
390,18965.32153361363,31079.532914133375,4.7662,22.5115,0.048656,26.1183
395,19406.66784671528,31579.532914133375,4.7814,22.563,0.049966,26.7052
400,19857.24727869383,32079.532914133375,4.7986,22.6137,0.049269,27.2649
405,20317.280109634095,32579.532914133375,4.8173,22.6635,0.049052,27.8111
410,20786.57589534448,33079.53291413338,4.8347,22.7126,0.049583,28.3785
415,21264.921121189465,33579.53291413338,4.8526,22.7607,0.050352,28.9247
420,21752.120774818603,34079.53291413338,4.8723,22.808,0.047697,29.4435
425,22247.19009016417,34579.53291413338,4.8903,22.8502,0.050985,29.8307
430,22748.204216816313,35079.53291413338,4.9057,22.8907,0.050418,30.2432
435,23255.646372780124,35579.53291413338,4.926,22.9305,0.049511,30.5857
440,23769.40837842163,36079.53291413338,4.9401,22.9695,0.049816,30.9945
445,24289.264563720764,36579.53291413338,4.9601,23.0079,0.049138,31.323
450,24815.43383444646,37079.53291413338,4.9725,23.0451,0.05049,31.7076
455,25346.59664217162,37579.53291413338,4.9909,23.0803,0.051171,31.989
460,25883.321090515543,38079.53291413338,5.0025,23.1142,0.049279,32.3205
465,26424.740070638825,38579.53291413338,5.017,23.1475,0.051058,32.607
470,26971.269650884446,39079.53291413338,5.0351,23.181,0.050564,32.9074
475,27522.527956128157,39579.53291413338,5.0508,23.2133,0.048235,33.2005
480,28078.76316065617,40079.53291413338,5.0659,23.2448,0.052376,33.4791
485,28637.77654350624,40579.53291413338,5.0751,23.2424,0.052633,33.5311
490,29193.932206528265,41079.53291413338,5.0271,23.2307,0.049198,33.3354
495,29748.820344623015,41576.102037883305,5.0117,23.2199,0.049238,33.1783
500,30299.96359017527,42076.102037883305,5.0274,23.2083,0.050302,33.0819
505,30848.727006137342,42557.218253001745,5.0586,23.2011,0.049374,32.8351
510,31395.79676092915,43057.218253001745,5.0401,23.1898,0.048491,32.7692
515,31938.21740218177,43557.218253001745,4.999,23.1772,0.050141,32.4743
520,32479.5679732078,44023.18104358051,5.0339,23.1716,0.050509,32.4281
525,33018.42884438264,44523.18104358051,5.0075,23.1597,0.050673,32.3046
530,33553.96906742306,45010.031427457914,5.0025,23.1497,0.04903,32.0053
535,34087.059060985564,45487.52523888143,4.9574,23.1418,0.052699,32.0035
540,34617.93347326432,45987.52523888143,5.0,23.1303,0.049436,31.7937
545,35143.542270193066,46347.275215492955,4.9404,23.0909,0.051006,31.3535
550,35663.21519942627,46704.40129827167,4.9672,23.0642,0.050584,31.0371
555,36176.4561415754,47020.706534636665,4.9485,23.0346,0.052177,30.7003
560,36683.731608553215,47385.1156801085,4.8845,22.9996,0.048257,30.1977
565,37183.37435441984,47674.666218032566,4.8669,22.9845,0.051996,29.9772
570,37679.286668973305,48087.21969663184,4.8547,22.943,0.050138,29.515
575,38167.65738950652,48347.83764433088,4.7926,22.9272,0.049013,29.2244
580,38649.99754004375,48735.5382249456,4.8212,22.8919,0.04972,28.7602
585,39126.965409018376,49056.484623969,4.7596,22.8732,0.05001,28.4909
590,39598.10138913044,49331.70779511712,4.7883,22.8464,0.050206,28.1348
595,40063.42693747104,49722.17730097846,4.7724,22.8161,0.049921,27.7737
600,40523.89720236586,50033.88549544873,4.7562,22.7968,0.049239,27.5824
605,40979.097624946946,50337.08869973522,4.7855,22.7664,0.049517,27.1915
610,41428.161366861365,50748.08439404377,4.7245,22.7252,0.048549,26.7565
615,41872.03143533217,51017.009034383904,4.7536,22.7155,0.048808,26.5295
620,42308.702988589685,51353.82311139715,4.7466,22.6693,0.051606,26.0591
625,42741.446858222684,51710.220198092815,4.7395,22.654,0.04807,25.8097
630,43168.74328644931,51952.14582171207,4.6916,22.6366,0.050538,25.5934
635,43589.25225839648,52377.90909154199,4.7236,22.5881,0.049214,25.0036
640,44004.121861028325,52695.24523807129,4.6675,22.5736,0.052595,24.8094
645,44413.55675651821,52938.81331710073,4.6711,22.5516,0.047073,24.4906
650,44818.07621152975,53370.22670802042,4.6639,22.5105,0.054046,24.0298
655,45217.356802545284,53595.49387629662,4.6497,22.5142,0.049638,23.98
660,45612.16578103406,53966.14121934494,4.6196,22.4726,0.051412,23.5918
665,45999.94241083501,54312.93662884794,4.6506,22.4453,0.048271,23.0646
670,46381.7299156705,54603.75061793092,4.5922,22.4215,0.049573,22.8336
675,46755.44355785316,54945.91840371917,4.6682,22.3828,0.050126,22.2978
680,47124.71195628308,55282.63967923847,4.6109,22.3537,0.050301,21.895
685,47486.25194313909,55552.59105768734,4.5972,22.3375,0.048735,21.6018
690,47841.13901434985,55995.92676022678,4.5856,22.2903,0.047834,21.0211
