step,cumulative_comfort_violation,cumulative_energy,max_overshoot,mean_temperature,temperature_rmse,total_overshoot
5,0.9933802075212486,16.66666666666667,0.1029,20.0088,0.052566,0.1029
10,1.060091385741693,44.053640839477104,0.0,19.9684,0.052251,0.0
15,1.060091385741693,53.39605377824876,0.0,19.9996,0.047979,0.0
20,1.060091385741693,80.22627139201528,0.0,19.9635,0.05548,0.0
25,1.060091385741693,87.85390995282478,0.0,19.9914,0.044521,0.0
30,1.060091385741693,103.51026410642574,0.0,19.9884,0.05001,0.0
35,1.060091385741693,113.63689365139132,0.0,20.0171,0.046185,0.0
40,1.060091385741693,140.25868056997362,0.0,19.9819,0.049827,0.0
45,1.060091385741693,145.52546516341917,0.0,20.0128,0.045314,0.0
50,1.060091385741693,160.6675516229641,0.0,20.044,0.045337,0.0
55,1.060091385741693,184.52704410834568,0.0,20.0343,0.047435,0.0
60,1.060091385741693,199.39430536216284,0.0,20.071,0.05563,0.0
65,1.060091385741693,220.88730587403916,0.0,20.0988,0.049906,0.0
70,1.2356783598247154,232.07145122297916,0.0527,20.1764,0.056223,0.0527
75,1.2356783598247154,260.60083911761836,0.0,20.1876,0.044234,0.0
80,1.5814102933051308,274.7183906961752,0.0816,20.2806,0.050816,0.0816
85,1.6650886942315426,305.2112982725267,0.0,20.3174,0.056438,0.0
90,2.1925812406663194,327.1829285779322,0.1089,20.383,0.045058,0.1089
95,2.365870546462397,358.8021208090019,0.0,20.4196,0.050753,0.0
100,3.112448409424242,385.2788897332804,0.1343,20.4669,0.047757,0.1343
105,3.438355440597458,416.90194177844353,0.0,20.5032,0.054881,0.0
110,4.42065857812511,443.39414995909584,0.1579,20.5493,0.046586,0.1579
115,4.900276820627455,473.3358186528246,0.0,20.5868,0.044743,0.0
120,7.785983949565712,499.8858227069488,0.2921,20.6313,0.051281,0.2921
125,9.738665175864194,533.219156040282,0.004,20.6878,0.055833,0.004
130,11.06930597234829,579.8858227069486,0.1896,20.6963,0.050953,0.1896
135,11.910727944309254,611.5524893736151,0.0274,20.7593,0.04674,0.0274
140,14.416369094787896,636.5524893736151,0.2099,20.8288,0.045345,0.3409
145,18.029771844142807,694.8858227069483,0.0385,20.8312,0.053095,0.0385
150,19.869129963463056,719.8858227069483,0.2233,20.8847,0.044994,0.2407
155,22.836354313904813,778.2191560402814,0.0514,20.8877,0.049067,0.0514
160,23.51919702152713,809.885822706948,0.1224,20.9249,0.048378,0.1224
165,24.912563979288173,868.2191560402812,0.02,20.929,0.042026,0.0317
170,26.204227537786135,918.2191560402812,0.1441,20.9218,0.054492,0.1441
175,27.782139411203012,969.8858227069477,0.0032,20.9115,0.058276,0.0032
180,31.244989448751667,1001.5524893736143,0.2768,20.9812,0.048497,0.4032
185,32.91288534960335,1053.2191560402812,0.0399,20.9291,0.054174,0.0399
190,32.99037269666254,1091.5524893736147,0.0,20.9337,0.046461,0.0
195,33.09368898619189,1143.2191560402816,0.031,20.877,0.047384,0.031
200,33.09368898619189,1168.2191560402816,0.0,20.8982,0.05128,0.0
205,33.18410258813653,1198.2191560402816,0.0271,20.9212,0.046348,0.0271
210,33.27374969376823,1241.5524893736151,0.0,20.8814,0.042367,0.0
215,33.27374969376823,1281.5524893736153,0.0,20.8843,0.053934,0.0
220,33.27374969376823,1317.712504048385,0.0,20.8542,0.05028,0.0
225,33.27374969376823,1336.9525260605394,0.0,20.9047,0.042867,0.0
230,33.27374969376823,1361.9525260605394,0.0,20.9268,0.054432,0.0
235,34.736344815001104,1388.6191927272062,0.1536,20.9489,0.049585,0.1536
240,34.98278039418333,1418.6191927272064,0.0,20.9651,0.057115,0.0
245,35.076633101214725,1448.6191927272066,0.0282,20.9588,0.045155,0.0282
250,35.82678225383475,1475.2858593938734,0.0,20.9521,0.050942,0.0
255,35.82678225383475,1504.509528958976,0.0,20.9473,0.05312,0.0
260,35.82678225383475,1530.5654463502517,0.0,20.9427,0.056642,0.0
265,35.82678225383475,1558.6586770275173,0.0,20.9392,0.046241,0.0
270,35.82678225383475,1583.9979837697365,0.0,20.9367,0.048635,0.0
275,35.82678225383475,1613.8722865166635,0.0,20.9584,0.04094,0.0
280,35.82678225383475,1640.0244332886455,0.0,20.9803,0.052596,0.0
285,35.82678225383475,1665.0010447954721,0.0,21.0024,0.047341,0.0
290,35.82678225383475,1694.1232305630776,0.0,21.0229,0.047617,0.0
295,35.82678225383475,1720.0703534837203,0.0,21.0441,0.050856,0.0
300,35.82678225383475,1745.0494976034056,0.0,21.066,0.048961,0.0
305,35.98031191213573,1796.7161642700726,0.0,21.0126,0.056408,0.0
310,35.98031191213573,1804.5961415404938,0.0,21.0331,0.054991,0.0
315,36.05422613039257,1826.172136994578,0.0222,21.0482,0.053123,0.0222
